Date,Campaign Name,Campaign ID,Landing Page URL,Traffic Source,UTM Source,UTM Medium,Device Type,Creative ID,Creative Name,Creative Type,Creative Link,Sessions,Users,New Users,Bounce Rate (%),Engagement Rate (%),Average Time on Page,Scroll Depth (%),Clicks on Primary CTA,Form Views,Form Starters,Form Completions,Form Abandonment Rate (%),Primary Conversion Count,Primary Conversion Rate (%),Secondary Conversions,Cost per Session,Cost per Conversion,Total Spend,Lead-to-SQL Rate (%),SQL-to-Opportunity Rate (%),Opportunity-to-Close Rate (%),Customer Acquisition Cost (CAC)
8/1/2024,August Launch Campaign,TW-2024-ALC-079,https://company.com/august-launch,Twitter Ads,twitter,social,Tablet,CRT-079-IMG,August Launch Image,Image,https://assets.company.com/august-launch.jpg,2123,1789,1456,46.8,53.2,2:34,56.9,423,934,723,267,63.1,267,12.6,89,4.78,38.12,10151,25.2,40.8,19.6,190.19
8/2/2024,Customer Success Platform,PIN-2024-CSP-080,https://company.com/success-platform,Pinterest Ads,pinterest,social,Desktop,CRT-080-PIN,Success Platform Pin,Image,https://assets.company.com/success-pin.jpg,1987,1634,1345,38.9,61.1,3:45,74.6,398,923,634,278,56.2,278,14,98,6.23,44.67,12381,30.6,47.1,23.7,222.66
8/3/2024,Integration Capabilities,GOOG-2024-INT-081,https://company.com/integrations,Google Display,google,display,Mobile,CRT-081-BAN,Integration Banner,Image,https://assets.company.com/integration-banner.jpg,3234,2789,2345,54.7,45.3,1:56,41.2,634,1456,1023,423,58.7,423,13.1,167,3.23,24.67,10446,22.5,38.9,17.3,123.35
8/4/2024,Advanced Analytics Workshop,META-2024-AAW-082,https://company.com/analytics-workshop,Meta Ads,facebook,social,Desktop,CRT-082-VID,Analytics Workshop Video,Video,https://assets.company.com/analytics-workshop.mp4,1789,1456,1234,35.8,64.2,4:34,80.7,356,823,634,267,57.9,267,14.9,89,8.67,57.94,15512,34.1,50.6,27.3,290.71
8/5/2024,Security Best Practices,BING-2024-SBP-083,https://company.com/security-practices,Bing Ads,bing,cpc,Desktop,CRT-083-TXT,Security Guide Text,Text Ad,N/A,1234,1023,867,39.2,60.8,4:56,81.9,245,567,423,178,57.9,178,14.4,67,7.89,54.72,9741,33.7,49.8,26.4,273.71
8/6/2024,Community Spotlight,TT-2024-CS-084,https://company.com/community-spotlight,TikTok Ads,tiktok,video,Mobile,CRT-084-VID,Community Spotlight Video,Video,https://assets.company.com/community-spotlight.mp4,5789,4623,4012,63.2,36.8,1:08,33.4,567,1345,867,278,67.9,278,4.8,345,2.56,53.38,14821,15.1,28.3,11.5,266.55
8/7/2024,Email Marketing Automation,EMAIL-2024-EMA-085,https://company.com/email-automation,Email Campaign,mailchimp,email,Mobile,CRT-085-TXT,Email Auto Text,Text Ad,N/A,3987,3456,2987,30.1,69.9,2:23,53.8,1034,2345,1723,756,56.1,756,19,298,1.98,10.45,7894,18.9,34.2,16.1,104.42
8/8/2024,Product Demo Day,LNKD-2024-PDD-086,https://company.com/demo-day,LinkedIn Ads,linkedin,cpc,Desktop,CRT-086-CAR,Demo Day Carousel,Carousel,https://assets.company.com/demo-carousel.jpg,1567,1345,1123,36.4,63.6,4:45,82.6,312,734,523,234,55.3,234,14.9,78,9.23,61.72,14467,35.9,52.3,29.1,309.15
8/9/2024,Mobile First Strategy,YT-2024-MFS-087,https://company.com/mobile-first,YouTube Ads,youtube,video,Mobile,CRT-087-VID,Mobile Strategy Video,Video,https://assets.company.com/mobile-strategy.mp4,4456,3789,3123,46.8,53.2,3:23,68.4,823,1789,1234,489,60.4,489,11,189,6.78,61.84,30214,26.8,42.3,19.1,309.02
8/10/2024,Customer Feedback Integration,TW-2024-CFI-088,https://company.com/feedback-integration,Twitter Ads,twitter,social,Tablet,CRT-088-IMG,Feedback Flow Image,Image,https://assets.company.com/feedback-flow.jpg,1876,1567,1234,47.1,52.9,2:56,58.7,378,823,634,234,63.1,234,12.5,89,4.67,37.44,8763,25.6,41,19.7,187.36
8/11/2024,Performance Optimization Guide,PIN-2024-POG-089,https://company.com/performance-guide,Pinterest Ads,pinterest,social,Desktop,CRT-089-PIN,Performance Guide Pin,Image,https://assets.company.com/performance-pin.jpg,2234,1897,1567,38.7,61.3,3:34,73.8,467,1023,734,298,59.4,298,13.3,98,6.12,45.83,13675,30.2,46.8,23.4,229.08
8/12/2024,API Rate Limiting Info,GOOG-2024-ARL-090,https://company.com/api-limits,Google Paid Search,google,cpc,Desktop,CRT-090-TXT,API Limits Text,Text Ad,N/A,1345,1123,934,37.8,62.2,5:12,84.3,267,634,456,198,56.6,198,14.7,67,8.45,57.32,11366,34.3,50.5,27.8,287.17
8/13/2024,User Onboarding Analytics,META-2024-UOA-091,https://company.com/onboarding-analytics,Meta Ads,facebook,social,Mobile,CRT-091-VID,Onboarding Analytics Video,Video,https://assets.company.com/onboarding-analytics.mp4,2789,2345,1987,34.9,65.1,3:12,68.7,567,1345,934,378,59.5,378,13.5,145,6.89,50.79,19212,28.1,43.7,20.9,254.49
8/14/2024,Competitive Feature Analysis,BING-2024-CFA-092,https://company.com/feature-analysis,Bing Ads,bing,cpc,Desktop,CRT-092-IMG,Feature Comparison Image,Image,https://assets.company.com/feature-comparison.jpg,1234,1023,867,40.5,59.5,4:34,78.9,245,567,423,178,57.9,178,14.4,56,7.89,54.72,9741,32.6,48.3,25.1,273.71
8/15/2024,Social Media Strategy,TT-2024-SMS-093,https://company.com/social-strategy,TikTok Ads,tiktok,video,Mobile,CRT-093-VID,Social Strategy Video,Video,https://assets.company.com/social-strategy.mp4,6234,4987,4234,62.1,37.9,1:15,36.2,634,1456,934,289,69.1,289,4.6,334,2.67,57.48,16645,15.2,27.9,10.8,287.64
8/16/2024,Enterprise Migration Guide,EMAIL-2024-EMG-094,https://company.com/enterprise-migration,Email Campaign,mailchimp,email,Desktop,CRT-094-TXT,Migration Guide Text,Text Ad,N/A,2567,2234,1897,32.4,67.6,2:45,57.3,634,1456,1089,489,55.1,489,19,198,2.34,12.33,6007,20.9,36.1,18.3,122.78
8/17/2024,Innovation Showcase,LNKD-2024-IS-095,https://company.com/innovation-showcase,LinkedIn Ads,linkedin,cpc,Desktop,CRT-095-VID,Innovation Video,Video,https://assets.company.com/innovation-vid.mp4,1678,1345,1123,35.6,64.4,4:56,83.7,334,734,523,234,55.3,234,13.9,78,9.67,69.83,16230,36.8,53.4,29.9,346.79
8/18/2024,Weekend Workshop Series,YT-2024-WWS-096,https://company.com/weekend-workshops,YouTube Ads,youtube,video,Mobile,CRT-096-VID,Workshop Series Video,Video,https://assets.company.com/workshop-series.mp4,3789,3234,2678,45.2,54.8,3:45,71.6,723,1678,1189,467,60.7,467,12.3,189,6.78,55.12,25701,26.4,42.1,19.8,275.16
8/19/2024,Customer Success Metrics,TW-2024-CSM-097,https://company.com/success-metrics,Twitter Ads,twitter,social,Tablet,CRT-097-IMG,Success Metrics Image,Image,https://assets.company.com/success-metrics.jpg,1987,1634,1345,46.7,53.3,2:56,59.1,389,823,634,234,63.1,234,11.8,89,4.56,38.76,9061,25.2,40.6,19.4,193.42
8/20/2024,End of Summer Sale,PIN-2024-ESS-098,https://company.com/summer-end-sale,Pinterest Ads,pinterest,social,Mobile,CRT-098-PIN,Summer End Sale Pin,Image,https://assets.company.com/summer-end-pin.jpg,2789,2345,1987,39.1,60.9,3:12,71.3,567,1345,934,378,59.5,378,13.5,145,5.89,43.67,16424,28.4,44.2,21.8,217.33
8/21/2024,Automation ROI Calculator,GOOG-2024-ARC-099,https://company.com/roi-calculator,Google Display,google,display,Desktop,CRT-099-BAN,ROI Calculator Banner,Image,https://assets.company.com/roi-banner.jpg,2456,2123,1789,41.3,58.7,3:45,76.2,534,1234,867,356,58.9,356,14.5,134,6.23,42.89,15289,29.5,45.6,22.1,214.55
8/22/2024,Final Quarter Planning,META-2024-FQP-100,https://company.com/q4-planning,Meta Ads,facebook,social,Desktop,CRT-100-VID,Q4 Planning Video,Video,https://assets.company.com/q4-planning.mp4,3234,2789,2345,37.2,62.8,3:34,69.5,634,1456,1023,423,58.7,423,13.1,156,7.23,55.34,23391,27.9,43.8,20.6,276.67
